,PLACA,FECHAPASO,HORAPASO,ZONA
0,MNU565,1/2/2018 00:00:00,30/12/1899 05:06:58,Premium Plaza
1,KBT964,1/2/2018 00:00:00,30/12/1899 05:43:12,exito del Poblado
2,KBT964,1/2/2018 00:00:00,30/12/1899 05:45:27,Mondongos
3,ITX936,1/2/2018 00:00:00,30/12/1899 06:31:00,Carrefour Apolo - Puente 4 Sur
4,EKK801,1/2/2018 00:00:00,30/12/1899 07:03:15,Fabrica de Licores
5,MOY387,1/2/2018 00:00:00,30/12/1899 07:14:35,Don Quijote
6,FGJ136,1/2/2018 00:00:00,30/12/1899 07:26:11,Tugo II
7,FGJ136,1/2/2018 00:00:00,30/12/1899 07:29:18,Servientrega - R
8,EKR425,1/2/2018 00:00:00,30/12/1899 07:44:04,Las Palmas
9,FBX643,1/2/2018 00:00:00,30/12/1899 07:46:23,Alpujarra - R
10,KHS186,1/2/2018 00:00:00,30/12/1899 07:48:13,Bomba Esso - Las Vegas
11,KHS186,1/2/2018 00:00:00,30/12/1899 07:52:19,exito del Poblado
12,MST604,1/2/2018 00:00:00,30/12/1899 07:52:41,Carrefour Apolo - Puente 4 Sur
13,KHS186,1/2/2018 00:00:00,30/12/1899 07:55:44,Mondongos
14,ELM925,1/2/2018 00:00:00,30/12/1899 07:58:50,Palos Verdes
15,KBT964,1/2/2018 00:00:00,30/12/1899 08:00:02,10 Hotel
16,DHY119,1/2/2018 00:00:00,30/12/1899 08:07:37,La Mota
17,DFY102,1/2/2018 00:00:00,30/12/1899 08:08:33,CAI Minorista 
18,KHG517,1/2/2018 00:00:00,30/12/1899 08:23:25,Campos de Paz
19,KBV558,1/2/2018 00:00:00,30/12/1899 08:23:41,Guayabal
20,KBV558,1/2/2018 00:00:00,30/12/1899 08:27:04,Cristo Rey S-N
21,MST604,1/2/2018 00:00:00,30/12/1899 08:28:43,Servientrega - D
22,KBV558,1/2/2018 00:00:00,30/12/1899 08:32:44,Barrio Antioquia
23,ELM925,1/2/2018 00:00:00,30/12/1899 08:38:41,exito del Poblado
24,MNL789,1/2/2018 00:00:00,30/12/1899 08:43:00,Almendros
25,MOP747,1/2/2018 00:00:00,30/12/1899 08:48:16,Don Quijote
26,MNL789,1/2/2018 00:00:00,30/12/1899 08:51:26,Carrefour Apolo - Puente 4 Sur
27,MOP747,1/2/2018 00:00:00,30/12/1899 08:52:45,Almendros
28,MOP747,1/2/2018 00:00:00,30/12/1899 09:02:14,Bomba Esso - Las Vegas
29,DHY119,1/2/2018 00:00:00,30/12/1899 09:13:11,Aeroparque Juan Pablo II
30,MNL789,1/2/2018 00:00:00,30/12/1899 09:32:04,Guayabal
31,MNM244,1/2/2018 00:00:00,30/12/1899 09:34:52,Cementerio Universal
32,FBP847,1/2/2018 00:00:00,30/12/1899 09:34:59,Carrefour Apolo - Puente 4 Sur
33,MNN689,1/2/2018 00:00:00,30/12/1899 09:35:32,Campos de Paz
34,MNN689,1/2/2018 00:00:00,30/12/1899 09:39:45,Aeroparque Juan Pablo II
35,MNL789,1/2/2018 00:00:00,30/12/1899 09:40:07,Bodegas Olaya
36,EKW374,1/2/2018 00:00:00,30/12/1899 09:48:23,Servientrega - D
37,FAM813,1/2/2018 00:00:00,30/12/1899 09:54:57,Cristo Rey S-N
38,FCV756,1/2/2018 00:00:00,30/12/1899 10:09:25,Transversal Superior
39,FGO667,1/2/2018 00:00:00,30/12/1899 10:13:03,La Iguana
40,KHG517,1/2/2018 00:00:00,30/12/1899 10:28:32,Estacion Metro Estadio
41,KHG517,1/2/2018 00:00:00,30/12/1899 10:42:01,Carrefour Apolo - Puente 4 Sur
42,EKK801,1/2/2018 00:00:00,30/12/1899 10:43:05,Campos de Paz
43,MFV743,1/2/2018 00:00:00,30/12/1899 10:49:11,Cementerio Universal
44,EKK801,1/2/2018 00:00:00,30/12/1899 10:49:11,Aeroparque Juan Pablo II
45,AUS273,1/2/2018 00:00:00,30/12/1899 10:56:26,Tugo II
46,AUS273,1/2/2018 00:00:00,30/12/1899 11:00:13,Servientrega - D
47,EKV319,1/2/2018 00:00:00,30/12/1899 11:03:27,Sauces
48,CKG936,1/2/2018 00:00:00,30/12/1899 11:07:41,Barrio Antioquia
49,FAV822,1/2/2018 00:00:00,30/12/1899 11:09:46,Alpujarra - R
50,MNS963,1/2/2018 00:00:00,30/12/1899 11:27:09,Cristo Rey N-S
51,KIX871,1/2/2018 00:00:00,30/12/1899 11:28:51,Premium Plaza
52,KHS186,1/2/2018 00:00:00,30/12/1899 11:41:24,Bomba Esso - Las Vegas
53,MNP616,1/2/2018 00:00:00,30/12/1899 11:46:23,Aeroparque Juan Pablo II
54,MNL789,1/2/2018 00:00:00,30/12/1899 11:53:00,Cementerio Universal
55,FCV756,1/2/2018 00:00:00,30/12/1899 11:55:42,Las Palmas
56,EWX390,1/2/2018 00:00:00,30/12/1899 11:57:32,Tugo II
57,KIZ412,1/2/2018 00:00:00,30/12/1899 11:58:24,Servientrega - D
58,EWX390,1/2/2018 00:00:00,30/12/1899 12:00:40,Servientrega - R
59,MNS963,1/2/2018 00:00:00,30/12/1899 12:03:25,Campos de Paz
60,MSR546,1/2/2018 00:00:00,30/12/1899 12:20:19,Tugo II
61,MNL789,1/2/2018 00:00:00,30/12/1899 13:06:17,Las Palmas
62,MNL789,1/2/2018 00:00:00,30/12/1899 13:11:25,Chuscalito las Palmas
63,MNS161,1/2/2018 00:00:00,30/12/1899 13:16:25,La Mota
64,MNL789,1/2/2018 00:00:00,30/12/1899 13:26:02,Chuscalito las Palmas
65,MSR546,1/2/2018 00:00:00,30/12/1899 13:28:15,Las Palmas
66,MNL789,1/2/2018 00:00:00,30/12/1899 13:31:08,Las Palmas
67,FAV822,1/2/2018 00:00:00,30/12/1899 13:34:39,Alpujarra - R
68,MNP616,1/2/2018 00:00:00,30/12/1899 13:39:17,La Mota
